id_nuts,name,id_ars
DE12,Karlsruhe,082
DE14,Tübingen,084
DE13,Freiburg,083
DE21,Oberbayern,091
DEF0,Schleswig-Holstein,
DE30,Berlin,
DEA1,Düsseldorf,051
DEG0,Thüringen,
DEA2,Köln,053
DE25,Mittelfranken,095
DED2,Dresden,146
DE50,Bremen,
DE60,Hamburg,
DEC0,Saarland,
DEA4,Detmold,057
DE72,Gießen,065
DEE0,Sachsen-Anhalt,
DED5,Leipzig,147
DED4,Chemnitz,145
DE22,Niederbayern,092
DEB3,Rheinhessen-Pfalz,073
DE11,Stuttgart,081
DE40,Brandenburg,
DE26,Unterfranken,096
DE93,Lüneburg,033
DE94,Weser-Ems,034
DEA5,Arnsberg,059
DE24,Oberfranken,094
DEB2,Trier,072
DE91,Braunschweig,031
DE80,Mecklenburg-Vorpommern,
DE23,Oberpfalz,093
DEA3,Münster,055
DE27,Schwaben,097
DE71,Darmstadt,064
DE73,Kassel,066
DE92,Hannover,032
DEB1,Koblenz,071
