id_nuts,name,id_ars
DEF0,Schleswig-Holstein,
DE80,Mecklenburg-Vorpommern,
DE60,Hamburg,
DE50,Bremen,
DE93,Lüneburg,033
DE30,Berlin,
DE41,Brandenburg - Nordost,
DE94,Weser-Ems,034
DE92,Hannover,032
DEA4,Detmold,057
DE42,Brandenburg - Südwest,
DEA3,Münster,055
DE91,Braunschweig,031
DED3,Leipzig,
DEA1,Düsseldorf,051
DEE0,Sachsen-Anhalt,
DEA5,Arnsberg,059
DED2,Dresden,146
DE73,Kassel,066
DE72,Gießen,065
DED1,Chemnitz,
DEG0,Thüringen,
DEA2,Köln,053
DEB1,Koblenz,071
DEB2,Trier,072
DE26,Unterfranken,096
DE24,Oberfranken,094
DE71,Darmstadt,064
DEC0,Saarland,
DE25,Mittelfranken,095
DEB3,Rheinhessen-Pfalz,073
DE23,Oberpfalz,093
DE12,Karlsruhe,082
DE22,Niederbayern,092
DE11,Stuttgart,081
DE14,Tübingen,084
DE21,Oberbayern,091
DE13,Freiburg,083
DE27,Schwaben,097
