id_nuts,name,id_ars
DE12,Karlsruhe,082
DE11,Stuttgart,081
DEA1,Düsseldorf,051
DEB3,Rheinhessen-Pfalz,073
DEA5,Arnsberg,059
DED4,Chemnitz,145
DED5,Leipzig,147
DEF0,Schleswig-Holstein,
DEE0,Sachsen-Anhalt,
DEG0,Thüringen,
DE93,Lüneburg,033
DEB1,Koblenz,071
DEA2,Köln,053
DEC0,Saarland,
DE94,Weser-Ems,034
DEA3,Münster,055
DEB2,Trier,072
DED2,Dresden,146
DEA4,Detmold,057
DE21,Oberbayern,091
DE23,Oberpfalz,093
DE26,Unterfranken,096
DE40,Brandenburg,
DE50,Bremen,
DE60,Hamburg,
DE72,Gießen,065
DE71,Darmstadt,064
DE73,Kassel,066
DE80,Mecklenburg-Vorpommern,
DE92,Hannover,032
DE91,Braunschweig,031
DE13,Freiburg,083
DE24,Oberfranken,094
DE14,Tübingen,084
DE27,Schwaben,097
DE22,Niederbayern,092
DE25,Mittelfranken,095
DE30,Berlin,
